"Potential applied (V)","Time (s)","WE(1).Current (A)","WE(1).Potential (V)","Scan","Index","Q+","Q-","Current range"
"0.08941650390625","232.40299841324","-0.00023870849609375","0.089569091796875","1","462","0.0012895535193384","-0.0025236618965864","1 mA"
"0.09185791015625","232.41520541321","-0.00023590087890625","0.091949462890625","1","463","0.0012895535193384","-0.0025236618965864","1 mA"
"0.09429931640625","232.42741241318","-0.00023464965820313","0.094390869140625","1","464","0.0012895535193384","-0.0025236618965864","1 mA"
"0.09674072265625","232.43961941315","-0.0002347412109375","0.09686279296875","1","465","0.0012895535193384","-0.0025236618965864","1 mA"
"0.09918212890625","232.45182641312","-0.00023294067382813","0.09930419921875","1","466","0.0012895535193384","-0.0025236618965864","1 mA"
"0.10162353515625","232.46403341308","-0.00023019409179688","0.10183715820312","1","467","0.0012895535193384","-0.0025236618965864","1 mA"
"0.10406494140625","232.47624041305","-0.00022946166992188","0.104248046875","1","468","0.0012895535193384","-0.0025236618965864","1 mA"
"0.10650634765625","232.48844741302","-0.00022915649414063","0.10665893554688","1","469","0.0012895535193384","-0.0025236618965864","1 mA"
"0.10894775390625","232.50065441299","-0.00022665405273438","0.10910034179688","1","470","0.0012895535193384","-0.0025236618965864","1 mA"
"0.11138916015625","232.51286141296","-0.00022421264648438","0.111572265625","1","471","0.0012895535193384","-0.0025236618965864","1 mA"
"0.11383056640625","232.52506841293","-0.00022390747070312","0.114013671875","1","472","0.0012895535193384","-0.0025236618965864","1 mA"
"0.11627197265625","232.5372754129","-0.00022296142578125","0.116455078125","1","473","0.0012895535193384","-0.0025236618965864","1 mA"
"0.11871337890625","232.54948241287","-0.00021994018554687","0.11886596679688","1","474","0.0012895535193384","-0.0025236618965864","1 mA"
"0.12115478515625","232.56168941284","-0.00021792602539063","0.121337890625","1","475","0.0012895535193384","-0.0025236618965864","1 mA"
"0.12359619140625","232.57389641281","-0.00021774291992187","0.12371826171875","1","476","0.0012895535193384","-0.0025236618965864","1 mA"
"0.12603759765625","232.58610341278","-0.000216064453125","0.12619018554688","1","477","0.0012895535193384","-0.0025236618965864","1 mA"
"0.12847900390625","232.59831041275","-0.0002127685546875","0.12863159179688","1","478","0.0012895535193384","-0.0025236618965864","1 mA"
"0.13092041015625","232.61051741271","-0.0002113037109375","0.131103515625","1","479","0.0012895535193384","-0.0025236618965864","1 mA"
"0.13336181640625","232.62272441268","-0.00021090698242188","0.13351440429688","1","480","0.0012895535193384","-0.0025236618965864","1 mA"
"0.13580322265625","232.63493141265","-0.00020843505859375","0.13595581054688","1","481","0.0012895535193384","-0.0025236618965864","1 mA"
"0.13824462890625","232.64713841262","-0.00020523071289063","0.138427734375","1","482","0.0012895535193384","-0.0025236618965864","1 mA"
"0.14068603515625","232.65934541259","-0.00020419311523437","0.14089965820312","1","483","0.0012895535193384","-0.0025236618965864","1 mA"
"0.14312744140625","232.67155241256","-0.0002032470703125","0.143310546875","1","484","0.0012895535193384","-0.0025236618965864","1 mA"
