"Potential applied (V)","Time (s)","WE(1).Current (A)","WE(1).Potential (V)","Scan","Index","Q+","Q-","Current range","Overload"
"0.291748046875","152.85744561407","0.00012612915039063","0.29171752929688","1","539","0.0011514731168747","-0.0022339593410492","100 µA",""
"0.294189453125","152.86721161405","0.000140869140625","0.29415893554688","1","540","0.0011514731168747","-0.0022339593410492","100 µA",""
"0.296630859375","152.87697761402","0.00014959716796875","0.29656982421875","1","541","0.0011514731168747","-0.0022339593410492","100 µA",""
"0.299072265625","152.886743614","0.00016171264648438","0.29901123046875","1","542","0.0011514731168747","-0.0022339593410492","100 µA",""
"0.301513671875","152.89650961397","0.00017483520507813","0.30148315429688","1","543","0.0011514731168747","-0.0022339593410492","100 µA",""
"0.303955078125","152.90627561395","0.00018341064453125","0.30389404296875","1","544","0.0011514731168747","-0.0022339593410492","100 µA",""
"0.306396484375","152.91604161392","0.0001993408203125","0.30630493164062","1","545","0.0011514731168747","-0.0022339593410492","100 µA",""
"0.308837890625","152.9258076139","0.00020748901367188","0.3087158203125","1","546","0.0011514731168747","-0.0022339593410492","100 µA",""
"0.311279296875","152.93557361387","0.00022216796875","0.31112670898438","1","547","0.0011514731168747","-0.0022339593410492","100 µA",""
"0.313720703125","152.94533961385","0.0002342529296875","0.3135986328125","1","548","0.0011514731168747","-0.0022339593410492","100 µA",""
"0.316162109375","152.95510561383","0.0002447509765625","0.31597900390625","1","549","0.0011514731168747","-0.0022339593410492","100 µA",""
"0.318603515625","152.9648716138","0.0002608642578125","0.318359375","1","550","0.0011514731168747","-0.0022339593410492","100 µA",""
"0.321044921875","152.97463761378","0.00026898193359375","0.32089233398438","1","551","0.0011514731168747","-0.0022339593410492","100 µA",""
"0.323486328125","152.98440361375","0.00028555297851563","0.32321166992188","1","552","0.0011514731168747","-0.0022339593410492","100 µA",""
"0.325927734375","152.99416961373","0.00029580688476562","0.32565307617188","1","553","0.0011514731168747","-0.0022339593410492","100 µA",""
"0.328369140625","153.0039356137","0.00030838012695313","0.32809448242188","1","554","0.0011514731168747","-0.0022339593410492","100 µA",""
"0.330810546875","153.01370161368","0.00032421875","0.33099365234375","1","555","0.0011514731168747","-0.0022339593410492","1 mA",""
"0.333251953125","153.02346761365","0.000332763671875","0.33346557617188","1","556","0.0011514731168747","-0.0022339593410492","1 mA",""
"0.335693359375","153.03323361363","0.00035006713867188","0.33584594726562","1","557","0.0011514731168747","-0.0022339593410492","1 mA",""
"0.338134765625","153.0429996136","0.00035867309570313","0.3382568359375","1","558","0.0011514731168747","-0.0022339593410492","1 mA",""
"0.340576171875","153.05276561358","0.00037335205078125","0.34075927734375","1","559","0.0011514731168747","-0.0022339593410492","1 mA",""
"0.343017578125","153.06253161355","0.0003863525390625","0.3431396484375","1","560","0.0011514731168747","-0.0022339593410492","1 mA",""
"0.345458984375","153.07229761353","0.00039596557617187","0.34561157226562","1","561","0.0011514731168747","-0.0022339593410492","1 mA",""
"0.347900390625","153.0820636135","0.00041265869140625","0.34805297851562","1","562","0.0011514731168747","-0.0022339593410492","1 mA",""
